objective,sum_generators,sum_wind,price,wind_spills,WCC,DAC,Î²,RDC,Cexp,Lshed
156267.95118495083,1858.7059681122573,348.2940318877427,151.0,"[0.0, 18.525727840936725, 23.83367736571381, 0.31096289590124115]",156267.95118495083,156267.95118495083,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
150426.27828770972,1820.0193926338393,386.9806073661607,151.0,"[13.261181026963584, 21.014339198094888, 0.0, 46.98214210118681]",150426.27828770972,150426.27828770972,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
145501.7194383568,1787.4064201215683,419.59357987843157,151.0,"[0.0, 17.21578247771879, 45.930749079203395, 2.471343238742236]",145501.7194383568,145501.7194383568,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
142773.35780780623,1769.3378000516968,437.66219994830305,151.0,"[22.338904250522262, 0.0, 9.733209972478676, 47.43601457464172]",142773.35780780623,142773.35780780623,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
141666.52964159977,1762.007812196025,444.9921878039749,151.0,"[17.75837087270554, 47.83204638378419, 6.423713223379025, 0.0]",141666.52964159977,141666.52964159977,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
141268.510735152,1759.3719253983575,447.6280746016424,151.0,"[20.277593637889254, 43.946654737799804, 1.489369584899464, 0.0]",141268.510735152,141268.510735152,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
139801.55695641617,1749.6569997113654,457.3430002886345,151.0,"[19.440709634220696, 0.3122723286782616, 41.515432779330524, 13.4715426205712]",139801.55695641617,139801.55695641617,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
140247.45470822597,1752.6099649551388,454.3900350448611,151.0,"[41.12998491256462, 17.577122830089934, 0.0, 15.382701948724446]",140247.45470822597,140247.45470822597,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
141613.89193642276,1761.659218122005,445.3407818779948,151.0,"[17.681515810646204, 2.443720667345474, 20.039245971037758, 0.0]",141613.89193642276,141613.89193642276,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
141099.17812312878,1758.2505173717138,448.7494826282861,151.0,"[16.850778777459084, 2.509660469152493, 43.813529280399166, 0.0]",141099.17812312878,141099.17812312878,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
140403.0437252049,1753.6403557960589,453.3596442039411,151.0,"[41.14883821442709, 16.81524463605865, 0.1016036090152852, 0.0]",140403.0437252049,140403.0437252049,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
141052.01302775042,1757.9381657466915,449.06183425330835,151.0,"[17.960391010476997, 0.8620545427895081, 0.0, 14.99432952888543]",141052.01302775042,141052.01302775042,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
143653.66599467187,1775.1676555938534,431.8323444061464,151.0,"[0.0, 5.011117073692844, 51.015435129666855, 27.151876129477273]",143653.66599467187,143653.66599467187,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
144990.65364566687,1784.0218784481249,422.9781215518749,151.0,"[2.806747524694231, 0.0, 51.26750176096971, 25.383933232129266]",144990.65364566687,144990.65364566687,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
144533.6932927795,1780.9956509455596,426.0043490544404,151.0,"[24.964101419295787, 7.3165649272578435, 18.255413198379244, 0.0]",144533.6932927795,144533.6932927795,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
143862.0832323183,1776.5479022007835,430.4520977992164,151.0,"[52.132266825581326, 0.0, 0.6881318846210434, 24.354346692196373]",143862.0832323183,143862.0832323183,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
143898.36800074397,1776.7881986804236,430.2118013195762,151.0,"[52.91211240309667, 3.6634065842151244, 24.00226960894213, 0.0]",143898.36800074397,143898.36800074397,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
144313.95987727135,1779.5404627633864,427.4595372366135,151.0,"[28.45033006662669, 0.0, 54.253615013118406, 23.748703670906593]",144313.95987727135,144313.95987727135,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
142203.3945039066,1765.563208635143,441.43679136485684,151.0,"[52.81769541167324, 18.9378801914865, 21.784685947193623, 3.331397453730119]",142203.3945039066,142203.3945039066,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
141041.91937373005,1757.8713203558282,449.1286796441717,151.0,"[24.777956846146594, 53.3109225460621, 4.661044364984662, 19.779601194711972]",141041.91937373005,141041.91937373005,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
140914.03167447433,1757.0243819501611,449.9756180498387,151.0,"[53.822585903701, 0.0, 27.624278715275977, 15.681972350650142]",140914.03167447433,140914.03167447433,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
140562.20039500925,1754.6943734768824,452.3056265231174,151.0,"[0.7042366850798771, 29.358501758990542, 0.0, 56.31044225599868]",140562.20039500925,140562.20039500925,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
143136.8925502564,1771.7453149023602,435.2546850976397,151.0,"[0.0, 28.585527704498418, 21.965553698871304, 57.778542724052954]",143136.8925502564,143136.8925502564,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
145580.68622305102,1787.9293789606027,419.07062103939717,151.0,"[6.122311926920929, 59.83606142389391, 28.397053399429467, 28.78574495951841]",145580.68622305102,145580.68622305102,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
150754.48978279973,1822.1929786940377,384.80702130596205,151.0,"[67.05502980133389, 0.0, 23.726811588183295, 10.690725980202956]",150754.48978279973,150754.48978279973,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
162758.9366278881,1901.6926266747555,305.30737332524427,151.0,"[16.809958005111298, 72.50539830830684, 27.9064072307508, 23.249705397100797]",162758.9366278881,162758.9366278881,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
176519.09712265764,1981.022554986615,225.9774450133849,175.0,"[9.404998840082783, 9.333261788445043, 61.85950183937268, 28.539636497858965]",176519.09712265764,176519.09712265764,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
185859.46186842676,2034.3960678195815,172.6039321804185,175.0,"[8.630120238664603, 47.85458944856734, 0.0, 6.546235905856179]",185859.46186842676,185859.46186842676,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
191960.51813820185,2069.2592465040107,137.74075349598934,175.0,"[36.41960512415642, 2.9663394684510536, 0.0, 52.86501570690123]",191960.51813820185,191960.51813820185,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
193319.86035799963,2077.0269163314265,129.97308366857345,175.0,"[17.72861452072098, 57.04460607241538, 0.0, 14.473859806372502]",193319.86035799963,193319.86035799963,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
193114.05778690844,2075.850901639477,131.14909836052317,175.0,"[42.93185407347082, 46.83998404428891, 57.79776623978438, 61.71234558907369]",193114.05778690844,193114.05778690844,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
188409.4583954339,2048.9674765453365,158.03252345466336,175.0,"[0.0, 25.982336618977342, 56.49426435424428, 62.69500708794163]",188409.4583954339,188409.4583954339,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
188592.54580454846,2050.0136903117054,156.98630968829445,175.0,"[16.357834287230446, 54.28132122122338, 0.0, 58.04289398929856]",188592.54580454846,188592.54580454846,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
191857.2484248996,2068.669133856569,138.3308661434309,175.0,"[39.29516577087071, 69.23895186394856, 55.34578725804599, 39.420952092018496]",191857.2484248996,191857.2484248996,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
195629.8662294139,2090.2269498823653,116.77305011763481,175.0,"[0.0, 44.449077772466055, 41.101693868239906, 69.25963707085658]",195629.8662294139,195629.8662294139,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
199672.9066170825,2113.3300378119,93.66996218809986,175.0,"[0.0, 50.97658021660716, 32.72644349664206, 57.427296559653755]",199672.9066170825,199672.9066170825,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
202856.6185379437,2131.5226773596783,75.47732264032165,175.0,"[42.23506740936291, 49.93413014103683, 24.82678760655874, 0.0]",202856.6185379437,202856.6185379437,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
204389.41751570132,2140.2815286611503,66.71847133884941,175.0,"[43.817639828803095, 44.22638344659501, 26.618311139864574, 0.0]",204389.41751570135,204389.41751570135,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
205362.12615872803,2145.8398637641603,61.16013623583974,175.0,"[45.26653241709425, 42.509917027356785, 29.378725795012066, 35.4994233401545]",205362.12615872803,205362.12615872803,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
205855.25334159305,2148.6577333805317,58.3422666194682,175.0,"[54.22175113248843, 31.988422464788734, 0.0, 28.523452506777865]",205855.25334159305,205855.25334159305,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
206356.35846992838,2151.521191256734,55.478808743266185,175.0,"[46.00163445264464, 33.12590781434169, 0.0, 51.031339112697125]",206356.3584699284,206356.3584699284,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
206847.17447771726,2154.3258541583846,52.67414584161557,175.0,"[33.92571040339949, 24.116845457723088, 47.95264894681611, 0.0]",206847.17447771726,206847.17447771726,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
208157.06452246278,2161.8109401283587,45.189059871641206,175.0,"[0.0, 53.06430709450882, 54.92634005287698, 17.160484209275936]",208157.06452246278,208157.06452246278,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
